extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,30,6,85.0,23.712033577879133,33.8,5.99655073268418,1389.7333333333333,239.54150649382944,707.7,103.60473627836879,58.975,8.633728023197397,0.4625619827700331,0.2754537342635038,0.15326200584871616,0.08024602111918579,11.9,0.30512857662936466
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,25,5,98.66666666666667,3.1180478223116213,25.36,1.8,795.56,57.547864136444424,358.68,40.215792917708335,29.89,3.3513160764756953,0.4594142235304087,0.2782102245590098,0.15741554202639382,0.08233596509159685,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,25,5,92.0,8.832285053102579,24.96,1.3063945294843617,498.0,44.89246410404906,186.16,25.665606038691806,15.513333333333334,2.1388005032243167,0.3856543282318722,0.3150820383727235,0.10391328170065203,0.05588685144724294,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,30,6,90.83333333333333,10.799017267620242,26.0,0.909717652294684,220.76666666666668,35.12900690934461,51.6,11.897841009597295,4.3,0.9914867507997746,0.3357804232804233,0.3478524866022914,0.06925595238095238,0.052750001742435076,12.0,0.0
