extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,ACL,ACL_prompt,gpt-5.2,gpt-5.2,24,6,82.63888888888889,25.290183821901564,33.833333333333336,5.498352849533305,1380.0833333333333,226.6278152978285,701.8333333333334,100.58942232689266,58.486111111111114,8.382451860574388,0.49157764018018124,0.3011416239774812,0.1388176709947248,0.08304879194310787,11.916666666666666,0.28232985128663995
deterministic,,ACL,ACL_prompt,gpt-5.5,gpt-5.5,20,5,98.75,3.0528962377710305,25.5,1.9330913339165219,789.85,60.607690149544204,352.95,42.25296626149147,29.4125,3.5210805217909567,0.4855683616130176,0.30669939697143095,0.14175070801730882,0.0850222530164962,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,20,5,90.83333333333333,9.326752065621088,24.9,1.3726654823065194,501.25,47.169208288101636,188.15,28.178519254361486,15.679166666666667,2.348209937863457,0.42909205209008816,0.3396193037156592,0.09598049913697104,0.05955505810660931,12.0,0.0
deterministic,,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,24,6,94.09722222222223,7.565800989021256,26.0,0.8340576562282991,224.95833333333334,36.20410638091458,54.0,11.240454887901848,4.5,0.9367045739918206,0.3854910714285714,0.37352008193573605,0.06871116923200256,0.058913963952619115,12.0,0.0
