extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,24,6,82.63888888888889,25.290183821901564,33.833333333333336,5.498352849533305,1380.0833333333333,226.6278152978285,593.5416666666666,77.3433784393066,49.46180555555556,6.445281536608883,0.4757350311552886,0.3101978302121433,0.127977039695321,0.07616717870975587,11.916666666666666,0.28232985128663995
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,20,5,98.75,3.0528962377710305,25.5,1.9330913339165219,789.85,60.607690149544204,337.25,28.142260785254322,28.104166666666668,2.3451883987711937,0.4945303058694796,0.30051369318166615,0.14758129538897347,0.08854770864360245,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,20,5,90.83333333333333,9.326752065621088,24.9,1.3726654823065194,501.25,47.169208288101636,190.2,27.825773739655943,15.85,2.3188144783046614,0.4332429116755672,0.33692084410493817,0.09890194849069256,0.06208309384484105,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,24,6,94.09722222222223,7.565800989021256,26.0,0.8340576562282991,224.95833333333334,36.20410638091458,55.833333333333336,12.839025652678824,4.652777777777778,1.0699188043899022,0.3820877425044092,0.37480160654124317,0.06561798540965208,0.05607434974498568,12.0,0.0
