extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,ACL,acl-debug-5.5,ACL_prompt,gpt-5.5,gpt-5.5,5,1,100.0,0.0,26.4,0.8944271909999159,615.0,23.097618924902193,263.6,9.44986772394196,21.96666666666667,0.7874889769951633,0.9607948915437474,0.03437809709852396,0.719241961267763,0.40372914133760135,12.0,0.0
deterministic,,ACL,debug,ACL_prompt,gpt-5.2,gpt-5.2,5,1,100.0,0.0,29.6,4.33589667773576,1183.0,187.66059788884826,580.4,87.3544503731779,48.36666666666667,7.279537531098159,0.7848437785208402,0.12852009599149017,0.44014090983281223,0.25517203364911895,12.0,0.0
deterministic,,ACL,gpt5.2-acl-cross-round,ACL_prompt,gpt-5.2,gpt-5.2,20,4,95.41666666666667,13.37575488387292,29.4,5.950674442093894,1227.85,251.46419123542066,628.85,106.1489891366698,52.40416666666667,8.845749094722482,0.8009543468195098,0.1110398399241194,0.4639037850011885,0.24759512595412556,11.9,0.4472135954999579
deterministic,,ACL,gpt5.2-acl-emnlp,ACL_prompt,gpt-5.2,gpt-5.2,25,5,93.33333333333333,7.978559231302815,30.88,5.509990925582365,1282.44,150.6726805584432,645.88,64.53960024667026,53.82333333333333,5.378300020555855,0.8046345170953273,0.10640441101726579,0.47448250796251273,0.2468929604241439,12.0,0.0
deterministic,,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,45,9,100.0,0.0,25.644444444444446,0.7732915349205615,721.0222222222222,46.041724598894035,321.9555555555556,30.869192906635423,26.82962962962963,2.5724327422196183,0.9658578811300703,0.03467246039614479,0.7221408111508717,0.3715024588938777,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,25,5,95.66666666666667,6.419011115717411,26.96,2.3180451534284945,468.8,83.69687369709018,170.44,40.52476609021534,14.203333333333333,3.3770638408512776,0.9069495078066689,0.06415993962864411,0.5757719614410617,0.3201747432777689,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,25,5,98.33333333333333,6.804138174397719,25.92,2.4138489320308896,461.92,107.17117149681626,164.8,45.18572783523576,13.733333333333333,3.7654773196029803,0.9394211835550286,0.055141649191362045,0.6185646531002569,0.34143904179032636,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp,cameron-prompt,gpt-5.5,gpt-5.5,25,5,96.33333333333333,6.838074236161758,25.28,1.1372481406154653,182.52,24.10414902044874,40.56,10.700778787857763,3.38,0.8917315656548136,0.9646111111111111,0.10124698339254626,0.6788373015873016,0.3761322009404395,12.0,0.0
deterministic,,Cameron,gpt5.5-cameron-emnlp-2,cameron-prompt,gpt-5.5,gpt-5.5,25,5,97.66666666666666,3.818813079129871,26.0,0.0,164.08,28.022193585323283,39.08,11.902100654926423,3.256666666666667,0.9918417212438686,0.9895,0.025061267518416332,0.6920674603174604,0.3799862713378811,12.0,0.0
