extractor,gpt_model,experiment,session_prefix,prompt_strategy,director_model,matcher_model,round,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
deterministic,,ACL,gpt5.2-acl-emnlp,ACL_prompt,gpt-5.2,gpt-5.2,4,5,5,95.0,7.453559924999296,28.0,1.4142135623730951,1225.2,73.05272068855479,633.2,51.1634635262313,52.766666666666666,4.263621960519275,0.7784789002831962,0.026370028525046923,0.6172183857448122,0.03521792884291191,12.0,0.0
deterministic,,ACL,gpt5.2-acl-emnlp,ACL_prompt,gpt-5.2,gpt-5.2,5,5,5,93.33333333333333,6.972166887783961,29.6,2.9664793948382653,1302.6,140.42364473264465,648.0,37.676252467569014,54.0,3.1396877056307506,0.7693944315483464,0.03984503677304192,0.6299945656893351,0.040232757271556494,12.0,0.0
deterministic,,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,1,9,9,100.0,0.0,25.555555555555557,0.8819171036881969,747.4444444444445,39.614110841690966,348.0,32.21024681681281,29.0,2.6841872347344005,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,2,9,9,100.0,0.0,25.77777777777778,0.6666666666666666,715.4444444444445,46.31984216054474,321.55555555555554,27.82135470780993,26.796296296296298,2.318446225650828,0.9089974904641972,0.022424832309239882,0.7853447831766132,0.04396005711422635,12.0,0.0
deterministic,,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,3,9,9,100.0,0.0,25.77777777777778,0.6666666666666666,716.5555555555555,48.703467820862386,315.8888888888889,29.353212960613206,26.324074074074073,2.4461010800511005,0.9619693279990879,0.02158378832996647,0.916395469911149,0.03512032086359376,12.0,0.0
deterministic,,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,4,9,9,100.0,0.0,25.555555555555557,0.8819171036881969,712.3333333333334,48.74935897014442,313.1111111111111,27.497474631520458,26.09259259259259,2.291456219293371,0.9767513836227255,0.014461391255167376,0.9486294161339857,0.02475470980058366,12.0,0.0
deterministic,,ACL,gpt5.5-acl-emnlp,ACL_prompt,gpt-5.5,gpt-5.5,5,9,9,100.0,0.0,25.555555555555557,0.8819171036881969,713.3333333333334,46.92014492731241,311.22222222222223,28.09705401718202,25.935185185185187,2.3414211680985018,0.981571203564341,0.007563110258834384,0.9603343865326107,0.011924417674128409,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,1,5,5,96.66666666666667,7.453559924999294,30.4,1.6733200530681511,611.8,41.02682049586587,244.8,9.311283477587823,20.4,0.7759402897989849,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,2,5,5,93.33333333333333,6.972166887783961,24.8,1.0954451150103321,439.6,53.956463931580984,160.6,17.558473737771173,13.383333333333333,1.4632061448142648,0.8206746837900089,0.042874617434792844,0.499073842303436,0.05201385814327585,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,3,5,5,100.0,0.0,26.4,0.8944271909999159,440.0,23.37733945512192,153.8,11.64903429473877,12.816666666666666,0.9707528578948972,0.9084543531517215,0.02683433569776055,0.7989696358467576,0.1028635317147348,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,4,5,5,96.66666666666666,4.5643546458763895,27.2,1.0954451150103321,446.8,27.607969863791144,150.4,14.570518178843194,12.533333333333333,1.214209848236933,0.8916267872846821,0.022274921956099602,0.7656249978947347,0.021102034612096907,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round,cameron-prompt,gpt-5.2,gpt-5.2,5,5,5,91.66666666666667,8.333333333333329,26.0,2.0,405.8,53.8302888716009,142.6,16.14930339054908,11.883333333333333,1.3457752825457563,0.9139917148069322,0.034044421402797204,0.8151913311603798,0.024816279469536906,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,1,5,5,100.0,0.0,29.6,2.6076809620810595,626.4,101.86903356761563,241.6,28.40422503783548,20.133333333333333,2.367018753152957,1.0,0.0,0.0,0.0,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,2,5,5,100.0,0.0,24.8,1.0954451150103321,455.8,33.146643872344,164.2,6.099180272790763,13.683333333333334,0.5082650227325631,0.86505082950443,0.035235747548089266,0.5696274305450593,0.048800115707859824,12.0,0.0
deterministic,,Cameron,gpt5.2-cameron-cross-round-2,cameron-prompt,gpt-5.2,gpt-5.2,3,5,5,98.33333333333333,3.726779962499654,25.2,1.0954451150103321,440.0,68.49452532867134,152.8,23.413671220037237,12.733333333333333,1.9511392683364368,0.9325066030460767,0.038736686751115634,0.8178443847818848,0.0880792614299978,12.0,0.0
