extractor,gpt_model,experiment,prompt_strategy,director_model,matcher_model,n_rows,n_sessions,accuracy_mean,accuracy_sd,turns_mean,turns_sd,words_mean,words_sd,re_words_mean,re_words_sd,mean_re_length_mean,mean_re_length_sd,relative_lexical_overlap_mean,relative_lexical_overlap_sd,jaccard_lexical_overlap_mean,jaccard_lexical_overlap_sd,extracted_objects_mean,extracted_objects_sd
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.2,gpt-5.2,30,6,85.0,23.712033577879133,33.8,5.99655073268418,1389.7333333333333,239.54150649382944,600.3666666666667,86.9123551128628,50.03055555555556,7.242696259405232,0.4458791700410955,0.2836616257012211,0.142251647182448,0.07428902805405928,11.9,0.30512857662936466
gpt,gpt-5.5,ACL,ACL_prompt,gpt-5.5,gpt-5.5,25,5,98.66666666666667,3.1180478223116213,25.36,1.8,795.56,57.547864136444424,344.24,29.146583561943128,28.686666666666667,2.428881963495261,0.4667290410806513,0.2734697237126104,0.16323204787250836,0.08506217112873304,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.2,gpt-5.2,25,5,92.0,8.832285053102579,24.96,1.3063945294843617,498.0,44.89246410404906,188.0,25.40505199102467,15.666666666666666,2.117087665918722,0.38889789994568846,0.31331834865906216,0.10627788761235445,0.05774190115299105,12.0,0.0
gpt,gpt-5.5,Cameron-style,cameron-prompt,gpt-5.5,gpt-5.5,30,6,90.83333333333333,10.799017267620242,26.0,0.909717652294684,220.76666666666668,35.12900690934461,53.06666666666667,13.413666045552542,4.4222222222222225,1.1178055037960453,0.3342151675485009,0.34791219406610424,0.06809727309727309,0.050428721289378156,12.0,0.0
