FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"tail that's going down, you could see its tail",that famous dog we couldn't figure out last time,dog on the very right in the middle,side view dog that has the tail down
Card2,little,looking off to side,dog on very left in middle,dog that was next to it on right
Card3,dog that was next to it on right,"sitting down, looking off to side, wiener",dog second left from middle,second from left on bottom
Card4,"on top, middle one",little black,little,hotdog
Card5,little pullover thing,poodle,the one on the left,little black Schnauzer
Card6,Doberman,black Doberman,Doberman,Doberman
Card7,"resembles Great Dane, curly hair underneath stomach",dog from second left on middle,second from right in middle,dog that's peering off to side
Card8,Great Dane,Great Dane,Great Dane,Great Dane
Card9,top right,top one,white,white Husky
Card10,"Schnauzer, black",black Schnauzer,black Schnauzer,Schnauzer
