FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"standing up very straight, black, legs brown, tail's got a little black, black all through his torso pretty much, basset hound","large basset hound, the first one we did, black, brown legs, tail down, got a little black, looking to left","basset hound, big guy",big basset hound
Card2,"standing, two front legs straight down, head turned to side, sticking out to side, looking down slope of back leg",looks like he's looking down his leg,"guy looking down his leg, schnauzer","schnauzer, looking down his leg"
Card3,"seated position, sitting, head turned","sitting, brown, looking behind him",sitting,"sitting, turned to back"
Card4,"very stout little, black, very short, little curly, long body, turned, looking towards right, little old weiner dog",weiner dog,weiner dog,weiner
Card5,"looking towards left, poodle",black poodle,poodle,poodle
Card6,Doberman pinscher,Doberman,Doberman,Doberman
Card7,"cocker spaniel, long ears",cocker spaniel,cocker spaniel,cocker spaniel
Card8,"pug, miniature boxer, legs are down far, looks like he's standing on something, but they cut it out, really pushed in face","pushed in, legs all the way down, pug","pushed in face, pug",pug
Card9,"sled dog, husky, white, looks like German shepherd","sled dog, husky","husky, sled dog",sled dog
Card10,"Yorkie, tail straight up, English dog",bearded English dog,English bearded dog,bearded English
