FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,a lot of black on it,brown with some black in middle of body,"bottom row, one on left",one on the bottom on right hand side
Card2,looks like it's hunched back,your left hand on the top row,"middle row, second card to the left","""Could I see number eight again? Actually--. Oh that's number nine."""
Card3,beige,"looks like it's looking back, yellowish color","the one in the bottom row, middle card",the one in the middle to the left
Card4,really brown,looks like a black hotdog,looks like a black hotdog,black hotdog
Card5,poodle,poodle,black poodle,black poodle
Card6,"top row, second to the right",mostly black,the one all the way to the right on bottom row,black
Card7,"top row, first one",golden retriever,golden retriever,golden retriever
Card8,bulldog,bulldog,bottom left hand corner,"bulldog, yellowish color, really really tiny tail"
Card9,white,"white with some black on it, husky",husky,white husky
Card10,"top row, first one on left","second row, last one on right","black, looks like a poodle, small, terrier",left hand corner
