FirstRoundCardIndex,Round1,Round2,Round3,Round4
Card1,"darker, center","black, stomach, yellowish","very first, black mouth",very first
Card2,"really, curly, tall","yellowish, looking left, curly hair","taller, curly hair, looking left","tall, curlier, looking left"
Card3,looking left,looking left,"looking left, green, little bit","looking left, little bit green"
Card4,"little hotdog, small","hotdog, short",hotdog,hotdog
Card5,poodle,"poodle, black","black poodle, smaller, hotdog","poodle, black"
Card6,"Great Dane, tall","Great Dane, tall, black","tall, Great Dane, black","Great Dane, black"
Card7,"really, long tail, long ears, one back leg sticking down","long ear, leg standing down","long ear, looking left","long ear, looking left, leg drooping down"
Card8,pitbull,"pitbull, yellowish",pitbull,pitbull
Card9,husky,husky,husky,husky
Card10,"S c o t t i s h ,   b l a c k","b l a c k ,   s i t t i n g   d o w n ,   S c o t t i s h",""" t h a t   o n e ' s   a c t u a l l y   n u m b e r   t w o """,l i t t l e   b l a c k   S c o t t i s h
