words,turns,utterances,words_per_round,words_per_turn,words_per_utterance,utterances_per_turn,utterances_per_round,turns_per_round,round_duration_seconds,avg_turn_duration_seconds,avg_utterance_duration_seconds,round_duration,avg_turn_duration,avg_utterance_duration,pair_id,round,accuracy
121,31,32,121,3.903225806451613,3.78125,1.032258064516129,32,31,204,0.12903225806451613,6.580645161290323,00:03:24,00:00:00,00:00:06,3kk7u0fy_kg97cklp_uklqrrvj,4,100.0
157,16,26,157,9.8125,6.038461538461538,1.625,26,16,783,24.25,31.32,00:13:03,00:00:24,00:00:31,3kk7u0fy_mzq0l3en_p5uvrh8a,1,75.0
145,9,18,145,16.11111111111111,8.055555555555555,2.0,18,9,348,24.444444444444443,20.470588235294116,00:05:48,00:00:24,00:00:20,3kk7u0fy_mzq0l3en_p5uvrh8a,2,91.66666667
145,18,35,145,8.055555555555555,4.142857142857143,1.9444444444444444,35,18,405,14.277777777777779,11.911764705882353,00:06:45,00:00:14,00:00:11,3kk7u0fy_mzq0l3en_p5uvrh8a,3,100.0
83,7,19,83,11.857142857142858,4.368421052631579,2.7142857142857144,19,7,290,23.714285714285715,16.11111111111111,00:04:50,00:00:23,00:00:16,3kk7u0fy_mzq0l3en_p5uvrh8a,4,100.0
80,23,23,80,3.4782608695652173,3.4782608695652173,1.0,23,23,738,0.0,33.54545454545455,00:12:18,00:00:00,00:00:33,3kk7u0fy_r5xmex9c_vpm4e0mw,1,83.33333333
57,23,23,57,2.4782608695652173,2.4782608695652173,1.0,23,23,315,0.0,14.318181818181818,00:05:15,00:00:00,00:00:14,3kk7u0fy_r5xmex9c_vpm4e0mw,2,83.33333333
57,23,24,57,2.4782608695652173,2.375,1.0434782608695652,24,23,430,1.2173913043478262,18.695652173913043,00:07:10,00:00:01,00:00:18,3kk7u0fy_r5xmex9c_vpm4e0mw,3,58.33333333
78,29,31,78,2.689655172413793,2.5161290322580645,1.0689655172413792,31,29,604,2.4482758620689653,20.133333333333333,00:10:04,00:00:02,00:00:20,3kk7u0fy_r5xmex9c_vpm4e0mw,4,83.33333333
131,2,15,131,65.5,8.733333333333333,7.5,15,2,481,221.5,34.357142857142854,00:08:01,00:03:41,00:00:34,3kk7u0fy_s9f6kam4_yzyxz2ce,1,58.33333333
134,2,14,134,67.0,9.571428571428571,7.0,14,2,338,163.5,26.0,00:05:38,00:02:43,00:00:26,3kk7u0fy_s9f6kam4_yzyxz2ce,2,75.0
174,8,21,174,21.75,8.285714285714286,2.625,21,8,385,35.875,19.25,00:06:25,00:00:35,00:00:19,3kk7u0fy_s9f6kam4_yzyxz2ce,3,58.33333333
146,16,26,146,9.125,5.615384615384615,1.625,26,16,406,9.6875,16.24,00:06:46,00:00:09,00:00:16,3kk7u0fy_s9f6kam4_yzyxz2ce,4,100.0
2,1,1,2,2.0,2.0,1.0,1,1,0,0.0,,00:00:00,00:00:00,,knco59ak_021rjj1v_eyfin1ae,1,25.0
134,15,22,134,8.933333333333334,6.090909090909091,1.4666666666666666,22,15,683,21.333333333333332,32.523809523809526,00:11:23,00:00:21,00:00:32,knco59ak_021rjj1v_eyfin1ae,2,33.33333333
126,5,14,126,25.2,9.0,2.8,14,5,774,119.0,59.53846153846154,00:12:54,00:01:59,00:00:59,knco59ak_021rjj1v_eyfin1ae,3,33.33333333
115,2,14,115,57.5,8.214285714285714,7.0,14,2,555,270.0,42.69230769230769,00:09:15,00:04:30,00:00:42,knco59ak_021rjj1v_eyfin1ae,4,50.0
118,2,4,118,59.0,29.5,2.0,4,2,285,45.0,95.0,00:04:45,00:00:45,00:01:35,knco59ak_1xyqcmx8_oh2eunjd,1,75.0
232,3,12,232,77.33333333333333,19.333333333333332,4.0,12,3,453,115.66666666666667,41.18181818181818,00:07:33,00:01:55,00:00:41,knco59ak_1xyqcmx8_oh2eunjd,2,83.33333333
353,5,26,353,70.6,13.576923076923077,5.2,26,5,778,120.6,31.12,00:12:58,00:02:00,00:00:31,knco59ak_1xyqcmx8_oh2eunjd,3,100.0
115,1,15,115,115.0,7.666666666666667,15.0,15,1,178,178.0,12.714285714285714,00:02:58,00:02:58,00:00:12,knco59ak_1xyqcmx8_oh2eunjd,4,100.0
619,55,74,619,11.254545454545454,8.364864864864865,1.3454545454545455,74,55,835,3.690909090909091,11.438356164383562,00:13:55,00:00:03,00:00:11,knco59ak_5fbib7c1_bof4el2c,1,100.0
348,42,55,348,8.285714285714286,6.327272727272727,1.3095238095238095,55,42,641,4.666666666666667,11.87037037037037,00:10:41,00:00:04,00:00:11,knco59ak_5fbib7c1_bof4el2c,2,100.0
687,54,82,687,12.722222222222221,8.378048780487806,1.5185185185185186,82,54,926,4.703703703703703,11.432098765432098,00:15:26,00:00:04,00:00:11,knco59ak_5fbib7c1_bof4el2c,3,100.0
273,39,48,273,7.0,5.6875,1.2307692307692308,48,39,323,1.564102564102564,6.872340425531915,00:05:23,00:00:01,00:00:06,knco59ak_5fbib7c1_bof4el2c,4,91.66666667
841,45,60,841,18.68888888888889,14.016666666666667,1.3333333333333333,60,45,1429,7.4,24.220338983050848,00:23:49,00:00:07,00:00:24,knco59ak_5kddifip_g6k2jo3i,1,91.66666667
715,34,36,715,21.029411764705884,19.86111111111111,1.0588235294117647,36,34,1012,4.294117647058823,28.914285714285715,00:16:52,00:00:04,00:00:28,knco59ak_5kddifip_g6k2jo3i,2,100.0
596,32,34,596,18.625,17.529411764705884,1.0625,34,32,642,0.34375,19.454545454545453,00:10:42,00:00:00,00:00:19,knco59ak_5kddifip_g6k2jo3i,3,100.0
572,31,31,572,18.451612903225808,18.451612903225808,1.0,31,31,505,0.0,16.833333333333332,00:08:25,00:00:00,00:00:16,knco59ak_5kddifip_g6k2jo3i,4,100.0
871,57,66,871,15.280701754385966,13.196969696969697,1.1578947368421053,66,57,2482,4.824561403508772,38.184615384615384,00:41:22,00:00:04,00:00:38,knco59ak_6hwoscz8_gdoo1cr3,1,100.0
572,38,44,572,15.052631578947368,13.0,1.1578947368421053,44,38,1210,5.7631578947368425,28.13953488372093,00:20:10,00:00:05,00:00:28,knco59ak_6hwoscz8_gdoo1cr3,2,100.0
286,28,30,286,10.214285714285714,9.533333333333333,1.0714285714285714,30,28,500,1.5714285714285714,17.24137931034483,00:08:20,00:00:01,00:00:17,knco59ak_6hwoscz8_gdoo1cr3,3,100.0
243,25,25,243,9.72,9.72,1.0,25,25,359,0.0,14.958333333333334,00:05:59,00:00:00,00:00:14,knco59ak_6hwoscz8_gdoo1cr3,4,100.0
375,44,60,375,8.522727272727273,6.25,1.3636363636363635,60,44,1360,7.636363636363637,23.050847457627118,00:22:40,00:00:07,00:00:23,knco59ak_d42tx12m_or8l74is,1,66.66666667
650,54,89,650,12.037037037037036,7.303370786516854,1.6481481481481481,89,54,2161,13.666666666666666,24.556818181818183,00:36:01,00:00:13,00:00:24,knco59ak_d42tx12m_or8l74is,2,66.66666667
456,51,69,456,8.941176470588236,6.608695652173913,1.3529411764705883,69,51,1345,6.333333333333333,19.779411764705884,00:22:25,00:00:06,00:00:19,knco59ak_d42tx12m_or8l74is,3,91.66666667
370,51,64,370,7.254901960784314,5.78125,1.2549019607843137,64,51,959,2.5294117647058822,15.222222222222221,00:15:59,00:00:02,00:00:15,knco59ak_d42tx12m_or8l74is,4,91.66666667
358,30,33,358,11.933333333333334,10.848484848484848,1.1,33,30,1053,1.8333333333333333,32.90625,00:17:33,00:00:01,00:00:32,knco59ak_esgfbf8h_tyn00k1z,1,41.66666667
327,30,31,327,10.9,10.548387096774194,1.0333333333333334,31,30,779,0.13333333333333333,25.966666666666665,00:12:59,00:00:00,00:00:25,knco59ak_esgfbf8h_tyn00k1z,2,75.0
301,33,35,301,9.121212121212121,8.6,1.0606060606060606,35,33,694,0.5454545454545454,20.41176470588235,00:11:34,00:00:00,00:00:20,knco59ak_esgfbf8h_tyn00k1z,3,83.33333333
289,27,31,289,10.703703703703704,9.32258064516129,1.1481481481481481,31,27,505,3.3333333333333335,16.833333333333332,00:08:25,00:00:03,00:00:16,knco59ak_esgfbf8h_tyn00k1z,4,58.33333333
657,43,69,657,15.279069767441861,9.521739130434783,1.6046511627906976,69,43,1598,10.395348837209303,23.5,00:26:38,00:00:10,00:00:23,knco59ak_hjrv83g6_pe41te3z,1,100.0
204,30,35,204,6.8,5.828571428571428,1.1666666666666667,35,30,603,3.066666666666667,17.735294117647058,00:10:03,00:00:03,00:00:17,knco59ak_hjrv83g6_pe41te3z,2,100.0
